rank,player,position,team,age,club,birth_year,matches_played,starts,minutes,ninety_minutes,goals_against,goals_against_90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalties_faced,penalty_kicks_against,penalty_saves,penalty_missed,penalty_save_percentage
51,Mostafa Shobeir,GK,Egypt,26,1.eg Al Ahly,2000,5,5,480,5.3,7,1.31,19,12,63.2,1,3,1,0,0.0,2,0,2,0,100.0
52,Unai Simón,GK,Spain,29,Athletic Club,1997,8,8,750,8.3,1,0.12,11,9,90.9,7,1,0,7,87.5,0,0,0,0,
53,Zion Suzuki,GK,Japan,23,Parma,2002,4,4,360,4.0,5,1.25,17,12,70.6,1,2,1,1,25.0,0,0,0,0,
54,Matt Turner,GK,USA,31,NE Revolution,1994,1,1,90,1.0,3,3.0,3,0,0.0,0,0,1,0,0.0,0,0,0,0,
55,Camilo Vargas,GK,Colombia,37,Atlas,1989,5,5,480,5.3,1,0.19,7,6,85.7,3,2,0,4,80.0,0,0,0,0,
56,Nikola Vasilj,GK,Bosnia–Herz,30,St Pauli,1995,4,4,360,4.0,8,2.0,14,6,42.9,1,1,2,0,0.0,1,1,0,0,0.0
57,Bart Verbruggen,GK,Netherlands,23,Brighton,2002,4,4,390,4.3,5,1.15,21,16,76.2,2,2,0,0,0.0,0,0,0,0,
58,Vozinha,GK,Cabo Verde,40,2.pt Chaves,1986,4,4,390,4.3,5,1.15,23,18,78.3,0,3,1,2,50.0,0,0,0,0,
59,Jacob Widell Zetterström,GK,Sweden,27,Derby County,1998,2,2,180,2.0,4,2.0,15,11,73.3,0,1,1,0,0.0,0,0,0,0,
60,Ronwen Williams,GK,South Africa,34,Sundowns,1992,4,4,360,4.0,4,1.0,15,11,73.3,1,1,2,1,25.0,0,0,0,0,
61,Utkir Yusupov,GK,Uzbekistan,35,1.uz Navbahor,1991,1,1,90,1.0,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
62,Luca Zidane,GK,Algeria,28,Granada,1998,3,3,270,3.0,6,2.0,14,8,57.1,1,0,2,0,0.0,0,0,0,0,
